Delivery Date,Delivery Hour,Settlement Point,Settlement Point Price
01/04/2022,1,HB_SOUTH,18.28
01/04/2022,1,HB_WEST,0.01
01/04/2022,2,HB_HOUSTON,19.12
01/04/2022,2,HB_NORTH,18.15
01/04/2022,2,HB_SOUTH,17.28
01/04/2022,2,HB_WEST,0.08
01/04/2022,3,HB_HOUSTON,19.81
01/04/2022,3,HB_NORTH,19.11
01/04/2022,3,HB_SOUTH,18.34
01/04/2022,3,HB_WEST,0.93
01/04/2022,4,HB_HOUSTON,20.56
01/04/2022,4,HB_NORTH,20.35
01/04/2022,4,HB_SOUTH,19.76
01/04/2022,4,HB_WEST,1.76
01/04/2022,5,HB_HOUSTON,25.06
01/04/2022,5,HB_NORTH,24.91
01/04/2022,5,HB_SOUTH,23.21
01/04/2022,5,HB_WEST,4.02
01/04/2022,6,HB_HOUSTON,26.31
01/04/2022,6,HB_NORTH,25.84
01/04/2022,6,HB_SOUTH,25.87
01/04/2022,6,HB_WEST,10.05
01/04/2022,7,HB_HOUSTON,41.16
01/04/2022,7,HB_NORTH,40.23
01/04/2022,7,HB_SOUTH,40.16
01/04/2022,7,HB_WEST,7.91
01/04/2022,8,HB_HOUSTON,42.04
01/04/2022,8,HB_NORTH,42.89
01/04/2022,8,HB_SOUTH,42.25
01/04/2022,8,HB_WEST,5.5
01/04/2022,9,HB_HOUSTON,36.73
01/04/2022,9,HB_NORTH,35.56
01/04/2022,9,HB_SOUTH,35.39
01/04/2022,9,HB_WEST,0.01
01/04/2022,10,HB_HOUSTON,27.43
01/04/2022,10,HB_NORTH,26.61
01/04/2022,10,HB_SOUTH,28.98
01/04/2022,10,HB_WEST,-0.29
01/04/2022,11,HB_HOUSTON,23.93
01/04/2022,11,HB_NORTH,23.39
01/04/2022,11,HB_SOUTH,24.79
01/04/2022,11,HB_WEST,-0.61
01/04/2022,12,HB_HOUSTON,23.31
01/04/2022,12,HB_NORTH,22.74
01/04/2022,12,HB_SOUTH,22.64
01/04/2022,12,HB_WEST,-0.29
01/04/2022,13,HB_HOUSTON,20.78
01/04/2022,13,HB_NORTH,20.37
01/04/2022,13,HB_SOUTH,20.06
01/04/2022,13,HB_WEST,-0.29
01/04/2022,14,HB_HOUSTON,19.53
01/04/2022,14,HB_NORTH,19.22
01/04/2022,14,HB_SOUTH,18.92
01/04/2022,14,HB_WEST,-0.29
01/04/2022,15,HB_HOUSTON,19.22
01/04/2022,15,HB_NORTH,18.33
01/04/2022,15,HB_SOUTH,17.94
01/04/2022,15,HB_WEST,-0.28
01/04/2022,16,HB_HOUSTON,18.95
01/04/2022,16,HB_NORTH,18.05
01/04/2022,16,HB_SOUTH,17.58
01/04/2022,16,HB_WEST,0.34
01/04/2022,17,HB_HOUSTON,21.55
01/04/2022,17,HB_NORTH,21.57
01/04/2022,17,HB_SOUTH,21.14
01/04/2022,17,HB_WEST,15.12
01/04/2022,18,HB_HOUSTON,44.14
01/04/2022,18,HB_NORTH,43.98
01/04/2022,18,HB_SOUTH,43.69
01/04/2022,18,HB_WEST,43.26
01/04/2022,19,HB_HOUSTON,34.06
01/04/2022,19,HB_NORTH,33.98
01/04/2022,19,HB_SOUTH,33.83
01/04/2022,19,HB_WEST,33.8
01/04/2022,20,HB_HOUSTON,29.23
01/04/2022,20,HB_NORTH,29.14
01/04/2022,20,HB_SOUTH,28.92
01/04/2022,20,HB_WEST,28.91
01/04/2022,21,HB_HOUSTON,26.1
01/04/2022,21,HB_NORTH,26.03
01/04/2022,21,HB_SOUTH,25.66
01/04/2022,21,HB_WEST,25.93
01/04/2022,22,HB_HOUSTON,24.54
01/04/2022,22,HB_NORTH,24.53
01/04/2022,22,HB_SOUTH,24.1
01/04/2022,22,HB_WEST,24.54
