Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/01/2022,19,2,HB_NORTH,22.19
01/01/2022,19,3,HB_NORTH,22.22
01/01/2022,19,4,HB_NORTH,22.28
01/01/2022,19,1,HB_SOUTH,24.54
01/01/2022,19,2,HB_SOUTH,24.71
01/01/2022,19,3,HB_SOUTH,24.52
01/01/2022,19,4,HB_SOUTH,23.96
01/01/2022,19,1,HB_WEST,-3.89
01/01/2022,19,2,HB_WEST,-3.9
01/01/2022,19,3,HB_WEST,-2.22
01/01/2022,19,4,HB_WEST,-3.91
01/01/2022,20,1,HB_HOUSTON,22.98
01/01/2022,20,2,HB_HOUSTON,22.69
01/01/2022,20,3,HB_HOUSTON,22.6
01/01/2022,20,4,HB_HOUSTON,22.46
01/01/2022,20,1,HB_NORTH,22.45
01/01/2022,20,2,HB_NORTH,22.32
01/01/2022,20,3,HB_NORTH,22.21
01/01/2022,20,4,HB_NORTH,22.22
01/01/2022,20,1,HB_SOUTH,23.23
01/01/2022,20,2,HB_SOUTH,22.78
01/01/2022,20,3,HB_SOUTH,22.67
01/01/2022,20,4,HB_SOUTH,22.39
01/01/2022,20,1,HB_WEST,-3.94
01/01/2022,20,2,HB_WEST,-4.52
01/01/2022,20,3,HB_WEST,-4.81
01/01/2022,20,4,HB_WEST,-4.81
01/01/2022,21,1,HB_HOUSTON,22.44
01/01/2022,21,2,HB_HOUSTON,22.29
01/01/2022,21,3,HB_HOUSTON,22.57
01/01/2022,21,4,HB_HOUSTON,22.42
01/01/2022,21,1,HB_NORTH,22.21
01/01/2022,21,2,HB_NORTH,22.22
01/01/2022,21,3,HB_NORTH,22.18
01/01/2022,21,4,HB_NORTH,22.17
01/01/2022,21,1,HB_SOUTH,22.34
01/01/2022,21,2,HB_SOUTH,22.06
01/01/2022,21,3,HB_SOUTH,22.67
01/01/2022,21,4,HB_SOUTH,22.37
01/01/2022,21,1,HB_WEST,-4.81
01/01/2022,21,2,HB_WEST,-4.8
01/01/2022,21,3,HB_WEST,-4.82
01/01/2022,21,4,HB_WEST,-4.8
01/01/2022,22,1,HB_HOUSTON,22.28
01/01/2022,22,2,HB_HOUSTON,22.13
01/01/2022,22,3,HB_HOUSTON,22.1
01/01/2022,22,4,HB_HOUSTON,21.96
01/01/2022,22,1,HB_NORTH,22.19
01/01/2022,22,2,HB_NORTH,22.15
01/01/2022,22,3,HB_NORTH,22.13
01/01/2022,22,4,HB_NORTH,21.98
01/01/2022,22,1,HB_SOUTH,22.07
01/01/2022,22,2,HB_SOUTH,21.81
01/01/2022,22,3,HB_SOUTH,21.8
01/01/2022,22,4,HB_SOUTH,21.68
01/01/2022,22,1,HB_WEST,-4.79
01/01/2022,22,2,HB_WEST,-4.78
